wkt,annual_mm,elevation_m,weight
POINT(172.53 -42.808),1083,570,36
POINT(172.983 -42.769),562,218,19
POINT(173.251 -42.904),698,32,23
POINT(171.276 -42.489),2833,100,94
POINT(171.501 -42.539),2893,229,96
POINT(171.832 -42.43),2420,914,81
POINT(172.306 -42.425),1705,1461,57
POINT(172.557 -42.537),1033,499,34
POINT(172.864 -42.478),1052,874,35
POINT(173.269 -42.461),1013,386,34
POINT(173.569 -42.43),992,92,33
POINT(171.534 -42.225),2349,261,78
POINT(171.908 -42.063),2070,287,69
POINT(172.227 -42.065),1975,667,66
POINT(172.649 -42.181),1678,1566,56
POINT(173.014 -42.09),801,1004,27
POINT(173.286 -42.124),708,966,24
POINT(173.639 -42.09),1120,508,37
POINT(171.469 -41.752),2506,37,84
POINT(171.947 -41.791),2590,453,86
POINT(172.325 -41.74),1536,384,51
POINT(172.584 -41.777),1569,432,52
POINT(172.884 -41.776),1166,712,39
POINT(173.239 -41.762),1158,820,39
POINT(173.621 -41.871),969,722,32
POINT(173.927 -41.814),1026,718,34
POINT(172.237 -41.521),3441,339,115
POINT(172.561 -41.369),1384,789,46
POINT(172.958 -41.435),1164,270,39
POINT(173.359 -41.378),1674,658,56
POINT(173.656 -41.403),1112,992,37
POINT(173.923 -41.502),684,12,23
POINT(174.97 -41.361),1002,398,33
POINT(175.367 -41.392),840,300,28
POINT(172.32 -41.174),3033,420,101
POINT(172.571 -41.046),2235,853,74
POINT(172.909 -41.127),1226,452,41
POINT(174.302 -41.132),1006,118,34
POINT(174.992 -41.09),1308,321,44
POINT(175.408 -41.079),1337,79,45
POINT(175.766 -41.18),892,476,30
POINT(176.041 -41.094),826,75,28
POINT(172.283 -40.783),2574,217,86
POINT(172.557 -40.824),2743,369,91
POINT(175.475 -40.804),2763,927,92
POINT(175.707 -40.797),1483,333,49
POINT(176.107 -40.761),955,243,32
POINT(175.383 -40.418),1366,27,46
POINT(175.784 -40.338),1137,394,38
POINT(176.095 -40.368),1040,353,35
POINT(176.391 -40.43),1068,232,36
POINT(175.089 -40.013),1087,28,36
POINT(175.367 -39.984),1201,196,40
POINT(175.725 -40.066),1165,375,39
POINT(176.152 -40.026),1622,645,54
POINT(176.373 -40.121),998,608,33
POINT(176.773 -40.085),1021,369,34
POINT(174.781 -39.777),1055,14,35
POINT(175.08 -39.679),1073,251,36
POINT(175.323 -39.771),1069,115,36
POINT(175.719 -39.746),1097,568,37
POINT(176.188 -39.633),1341,903,45
POINT(176.431 -39.635),1119,295,37
POINT(176.869 -39.687),878,46,29
POINT(173.956 -39.327),2590,379,86
POINT(174.37 -39.264),1251,221,42
POINT(174.761 -39.349),1509,521,50
POINT(175.09 -39.388),1373,99,46
POINT(175.372 -39.375),1627,663,54
POINT(175.756 -39.409),1307,899,44
POINT(176.121 -39.346),1229,980,41
POINT(176.539 -39.407),1581,225,53
POINT(176.852 -39.428),1004,1,33
POINT(174.642 -39.082),1567,173,52
POINT(174.994 -38.945),1419,194,47
POINT(175.407 -39.014),2374,595,79
POINT(175.762 -39.056),2252,827,75
POINT(176.18 -39.006),1899,1105,63
POINT(176.491 -39.051),1219,1252,41
POINT(176.806 -39.079),1551,568,52
POINT(177.079 -39.067),1351,239,45
POINT(177.438 -38.951),1285,55,43
POINT(177.864 -38.917),1876,374,63
POINT(174.773 -38.603),1729,38,58
POINT(175.041 -38.732),1495,261,50
POINT(175.439 -38.696),1855,629,62
POINT(175.797 -38.575),1231,474,41
POINT(176.017 -38.661),1064,530,35
POINT(176.394 -38.725),1478,620,49
POINT(176.828 -38.638),1729,447,58
POINT(177.124 -38.707),2172,877,72
POINT(177.434 -38.735),1806,404,60
POINT(177.883 -38.687),1218,67,41
POINT(175.092 -38.377),1315,177,44
POINT(175.461 -38.3),1915,471,64
POINT(175.777 -38.389),1403,214,47
POINT(176.051 -38.212),1615,621,54
POINT(176.525 -38.353),1261,522,42
POINT(176.776 -38.257),1489,242,50
POINT(177.197 -38.373),1853,695,62
POINT(177.523 -38.379),1815,679,60
POINT(177.841 -38.34),1776,238,59
POINT(178.262 -38.276),1722,17,57
POINT(175.012 -37.955),1682,347,56
POINT(175.383 -37.866),1332,58,44
POINT(175.818 -37.976),1349,107,45
POINT(176.175 -37.983),1791,486,60
POINT(176.525 -37.953),1687,227,56
POINT(176.819 -38.013),1490,8,50
POINT(177.415 -38.019),1881,69,63
POINT(177.78 -37.951),3055,432,102
POINT(178.258 -37.928),1961,106,65
POINT(175.13 -37.597),1215,133,40
POINT(175.394 -37.545),1291,21,43
POINT(175.726 -37.644),1301,30,43
POINT(178.135 -37.656),2844,331,95
POINT(174.721 -37.205),1354,19,45
POINT(174.963 -37.294),1234,4,41
POINT(175.312 -37.208),1204,58,40
POINT(175.836 -37.272),1489,65,50
POINT(174.621 -36.813),1206,58,40
POINT(175.065 -36.917),1289,30,43
POINT(175.739 -36.876),1339,165,45
POINT(174.274 -36.593),1104,48,37
POINT(174.69 -36.637),1123,17,37
POINT(174.42 -36.121),1323,134,44
POINT(174.662 -36.282),1383,88,46
POINT(173.584 -35.764),1665,144,56
POINT(174.078 -35.855),1149,284,38
POINT(174.402 -35.875),1132,8,38
POINT(173.561 -35.453),1515,66,50
POINT(173.969 -35.534),1102,147,37
POINT(174.378 -35.543),1234,158,41
POINT(173.372 -35.163),1350,73,45
POINT(173.92 -35.21),1385,76,46
